fips,county_name,population
17049,"Effingham County, Illinois",34594
17051,"Fayette County, Illinois",21464
17053,"Ford County, Illinois",13484
17055,"Franklin County, Illinois",37810
17057,"Fulton County, Illinois",33691
17059,"Gallatin County, Illinois",4967
17061,"Greene County, Illinois",12015
17063,"Grundy County, Illinois",52624
17065,"Hamilton County, Illinois",8008
17067,"Hancock County, Illinois",17582
17069,"Hardin County, Illinois",3665
17071,"Henderson County, Illinois",6374
17073,"Henry County, Illinois",49157
17075,"Iroquois County, Illinois",27043
17077,"Jackson County, Illinois",53176
17079,"Jasper County, Illinois",9295
17081,"Jefferson County, Illinois",37043
17083,"Jersey County, Illinois",21462
17085,"Jo Daviess County, Illinois",21942
17087,"Johnson County, Illinois",13313
17089,"Kane County, Illinois",517254
17091,"Kankakee County, Illinois",107421
17093,"Kendall County, Illinois",132795
17095,"Knox County, Illinois",49751
17097,"Lake County, Illinois",713159
17099,"LaSalle County, Illinois",109495
17101,"Lawrence County, Illinois",15302
17103,"Lee County, Illinois",34221
17105,"Livingston County, Illinois",35771
17107,"Logan County, Illinois",28027
17109,"McDonough County, Illinois",27370
17111,"McHenry County, Illinois",311133
17113,"McLean County, Illinois",171284
17115,"Macon County, Illinois",103542
17117,"Macoupin County, Illinois",44907
17119,"Madison County, Illinois",265512
17121,"Marion County, Illinois",37543
17123,"Marshall County, Illinois",11740
17125,"Mason County, Illinois",13074
17127,"Massac County, Illinois",14135
17129,"Menard County, Illinois",12284
17131,"Mercer County, Illinois",15692
17133,"Monroe County, Illinois",34905
17135,"Montgomery County, Illinois",28352
17137,"Morgan County, Illinois",32882
17139,"Moultrie County, Illinois",14531
17141,"Ogle County, Illinois",51672
17143,"Peoria County, Illinois",181186
17145,"Perry County, Illinois",20996
17147,"Piatt County, Illinois",16698
17149,"Pike County, Illinois",14776
17151,"Pope County, Illinois",3799
17153,"Pulaski County, Illinois",5177
17155,"Putnam County, Illinois",5628
17157,"Randolph County, Illinois",30413
17159,"Richland County, Illinois",15716
17161,"Rock Island County, Illinois",143819
17163,"St. Clair County, Illinois",256791
17165,"Saline County, Illinois",23662
17167,"Sangamon County, Illinois",196122
17169,"Schuyler County, Illinois",6879
17171,"Scott County, Illinois",4899
17173,"Shelby County, Illinois",21042
17175,"Stark County, Illinois",5395
17177,"Stephenson County, Illinois",44482
17179,"Tazewell County, Illinois",131276
17181,"Union County, Illinois",17122
17183,"Vermilion County, Illinois",74113
17185,"Wabash County, Illinois",11321
17187,"Warren County, Illinois",16760
17189,"Washington County, Illinois",13781
17191,"Wayne County, Illinois",16127
17193,"White County, Illinois",13834
17195,"Whiteside County, Illinois",55569
17197,"Will County, Illinois",696774
17199,"Williamson County, Illinois",67120
17201,"Winnebago County, Illinois",284591
17203,"Woodford County, Illinois",38414
18001,"Adams County, Indiana",35827
18003,"Allen County, Indiana",385456
18005,"Bartholomew County, Indiana",82371
18007,"Benton County, Indiana",8709
18009,"Blackford County, Indiana",12074
18011,"Boone County, Indiana",71235
18013,"Brown County, Indiana",15513
18015,"Carroll County, Indiana",20397
18017,"Cass County, Indiana",37820
18019,"Clark County, Indiana",121484
18021,"Clay County, Indiana",26396
18023,"Clinton County, Indiana",33020
18025,"Crawford County, Indiana",10511
18027,"Daviess County, Indiana",33337
18029,"Dearborn County, Indiana",50709
18031,"Decatur County, Indiana",26432
18033,"DeKalb County, Indiana",43312
18035,"Delaware County, Indiana",112156
18037,"Dubois County, Indiana",43584
18039,"Elkhart County, Indiana",206841
18041,"Fayette County, Indiana",23391
18043,"Floyd County, Indiana",80191
18045,"Fountain County, Indiana",16468
18047,"Franklin County, Indiana",22850
18049,"Fulton County, Indiana",20420
18051,"Gibson County, Indiana",33006
18053,"Grant County, Indiana",66560
18055,"Greene County, Indiana",30900
18057,"Hamilton County, Indiana",349527
18059,"Hancock County, Indiana",80170
18061,"Harrison County, Indiana",39684
18063,"Hendricks County, Indiana",175639
18065,"Henry County, Indiana",48913
18067,"Howard County, Indiana",83452
18069,"Huntington County, Indiana",36699
18071,"Jackson County, Indiana",46212
18073,"Jasper County, Indiana",33045
18075,"Jay County, Indiana",20451
18077,"Jefferson County, Indiana",33057
18079,"Jennings County, Indiana",27610
18081,"Johnson County, Indiana",161952
18083,"Knox County, Indiana",36148
18085,"Kosciusko County, Indiana",80442
18087,"LaGrange County, Indiana",40364
18089,"Lake County, Indiana",497682
18091,"LaPorte County, Indiana",112215
18093,"Lawrence County, Indiana",45113
18095,"Madison County, Indiana",130545
18097,"Marion County, Indiana",971737
18099,"Marshall County, Indiana",46208
18101,"Martin County, Indiana",9863
18103,"Miami County, Indiana",35952
18105,"Monroe County, Indiana",140065
18107,"Montgomery County, Indiana",38018
18109,"Morgan County, Indiana",71757
18111,"Newton County, Indiana",13829
18113,"Noble County, Indiana",47431
18115,"Ohio County, Indiana",5974
18117,"Orange County, Indiana",19768
18119,"Owen County, Indiana",21361
18121,"Parke County, Indiana",16327
18123,"Perry County, Indiana",19186
18125,"Pike County, Indiana",12227
18127,"Porter County, Indiana",173355
18129,"Posey County, Indiana",25226
18131,"Pulaski County, Indiana",12498
18133,"Putnam County, Indiana",36942
18135,"Randolph County, Indiana",24586
18137,"Ripley County, Indiana",28990
